OrderBy,player1,player1,player1_score,player2_score,Event,winner
22,Guilu,Sett,5,1,Season 1,Guilu
21,Fotten,Zephyrion,5,0,Season 1,Fotten
20,Volty,TangAce,5,0,Season 1,Volty
19,Cpt-GI,Polosaty,5,1,Season 1,Cpt-GI
18,Rufus,Aelz,5,3,Season 1,Rufus
17,dopppa,Hamidumi,5,2,Season 1,dopppa
16,VileMuffin,Prizvel,5,0,Season 1,VileMuffin
15,Stray,TapiocaKing,5,1,Season 1,Stray
14,SHARK,K.D.C.,5,1,Season 1,SHARK
13,Ganondeurf,Yin,10,7,Season 1,Ganondeurf
12,Baddy,Valhanya,5,4,Season 1,Baddy
11,Taokaka Meow,Jc_near,5,3,Season 1,Taokaka Meow
10,MPhantasm,Vegasvat,5,1,Season 1,MPhantasm
9,D3xus,Habaduba,10,3,Season 1,D3xus
8,Hamidumi,Carnhulio,5,3,Season 1,Hamidumi
7,Ol[d]cadan,Polosaty,5,1,Season 1,Ol[d]cadan
6,Stray,SHARK,5,0,Season 1,Stray
5,Mozarus,Spear,5,3,Season 1,Mozarus
4,Prizvel,Cpt-GI,5,3,Season 1,Prizvel
3,Spirit410,Domitto,10,6,Season 1,Spirit410
2,dopppa,Terachi,5,2,Season 1,dopppa
1,MonkeyKing,Fon,5,2,Season 1,MonkeyKing
